,id,Category,inapp,loc,contac_r,contact_w,media_r,media_w,storage_R,storage_w,cam,ad,size_below20,size_below50,size_below100,rating_above3,rating_above4,rating_anything
237,239,4,1.0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
238,240,4,0.0,0,0,0,1,1,1,1,1,0,1,0,0,1,1,0
239,241,4,0.0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
240,242,4,0.0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,0
241,243,4,0.0,0,0,0,1,1,1,1,0,0,0,1,0,1,1,0
242,244,5,0.0,0,1,0,1,1,1,1,0,1,1,0,0,1,1,0
243,245,5,1.0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0
244,246,5,1.0,1,0,0,1,1,1,1,0,1,1,0,0,1,1,0
245,247,5,0.0,0,0,0,1,1,1,1,0,0,1,0,0,1,0,0
246,248,5,1.0,0,1,0,1,1,1,1,0,1,1,0,0,1,1,0
247,249,5,1.0,0,0,0,1,1,1,1,1,1,1,0,0,1,1,0
248,250,5,0.0,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0
249,251,5,0.0,1,0,0,1,1,1,1,0,1,0,0,1,1,0,0
250,252,5,0.0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0
251,253,5,0.0,0,0,0,1,1,1,1,0,1,1,0,0,1,1,0
252,254,5,1.0,0,0,0,1,1,1,1,0,1,1,0,0,1,1,0
253,255,5,0.0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
254,256,5,1.0,1,1,0,1,1,1,1,0,1,1,0,0,1,1,0
255,257,5,1.0,0,0,0,1,1,1,1,0,1,1,0,0,1,1,0
256,258,5,1.0,0,0,0,1,1,1,1,0,1,0,0,1,1,1,0
257,259,5,0.0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0
258,260,5,0.0,1,0,0,1,1,1,1,0,0,0,0,1,1,1,0
259,261,5,0.0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0
260,262,5,1.0,0,0,0,1,1,1,1,0,1,1,0,0,1,1,0
261,263,5,0.0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0
262,264,5,0.0,0,1,0,1,1,1,1,0,1,1,0,0,1,1,0
263,265,5,1.0,0,0,0,1,1,1,1,0,0,1,0,0,1,1,0
264,266,5,0.0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
265,266,4,0.0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
266,266,1,0.0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
267,266,2,0.0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
268,267,5,0.0,1,0,0,1,1,1,1,0,1,1,0,0,1,1,0
269,268,5,0.0,1,0,0,1,1,1,1,0,0,0,1,0,1,1,0
